11.4,34.4,34.4,38.2,38.2,6.2,6.2,0,-1,-1,-1.8,6,6,-17,-17,,
11.3,34.9,34.9,30.7,30.7,5.8,5.8,0.4,-0.9,-0.9,-0.9,5.9,5.9,-16.5,-16.5,,
11.2,35.3,35.3,23.5,23.5,5.4,5.4,0.7,-1.1,-1.1,0,4.5,4.5,-15.5,-15.5,,
11.2,35.7,35.7,17.2,17.2,5.3,5.3,0.8,-1.4,-1.4,1,1.4,1.4,-14.2,-14.2,,
11.2,36.3,36.3,12.5,12.5,5.7,5.7,0.8,-1.8,-1.8,2,-3.1,-3.1,-12.8,-12.8,,
11.3,37,37,9.4,9.4,6.3,6.3,0.9,-2.3,-2.3,2.9,-7.8,-7.8,-11.5,-11.5,,
11.4,37.6,37.6,7.9,7.9,6.6,6.6,0.9,-2.6,-2.6,3.7,-11.1,-11.1,-10.4,-10.4,,
11.5,38,38,7.8,7.8,6.2,6.2,1.1,-2.6,-2.6,4.3,-12,-12,-9.4,-9.4,,
11.5,38.1,38.1,8.8,8.8,4.7,4.7,1.4,-2.2,-2.2,4.7,-10.2,-10.2,-8.6,-8.6,,
11.5,37.8,37.8,10.6,10.6,2.2,2.2,1.9,-1.4,-1.4,4.8,-6.8,-6.8,-7.8,-7.8,,
